Variable,Source,Country,Country_Code,Status,Earliest_Year,Latest_Year,Number_of_Years,Missing_Percentage,Notes
Manufacturing value added,UNIDO,China,CHN,REQUIRES_API_QUERY,,,,,UNIDO Statistics Portal API identified. Dataset and variable must be mapped.
Manufacturing value added,UNIDO,South Korea,KOR,REQUIRES_API_QUERY,,,,,UNIDO Statistics Portal API identified. Dataset and variable must be mapped.
Manufacturing value added,UNIDO,Taiwan,TWN,REQUIRES_API_QUERY,,,,,UNIDO Statistics Portal API identified. Dataset and variable must be mapped.
Manufacturing value added,UNIDO,Israel,ISR,REQUIRES_API_QUERY,,,,,UNIDO Statistics Portal API identified. Dataset and variable must be mapped.
Manufacturing value added,UNIDO,Brazil,BRA,REQUIRES_API_QUERY,,,,,UNIDO Statistics Portal API identified. Dataset and variable must be mapped.
Venture capital proxy,OECD / alternative source,India,IND,NOT_SELECTED,,,,,No proxy selected yet. Do not use a proxy until definition and cross-country comparability are established.
Venture capital proxy,OECD / alternative source,China,CHN,NOT_SELECTED,,,,,No proxy selected yet. Do not use a proxy until definition and cross-country comparability are established.
Venture capital proxy,OECD / alternative source,South Korea,KOR,NOT_SELECTED,,,,,No proxy selected yet. Do not use a proxy until definition and cross-country comparability are established.
Venture capital proxy,OECD / alternative source,Taiwan,TWN,NOT_SELECTED,,,,,No proxy selected yet. Do not use a proxy until definition and cross-country comparability are established.
Venture capital proxy,OECD / alternative source,Israel,ISR,NOT_SELECTED,,,,,No proxy selected yet. Do not use a proxy until definition and cross-country comparability are established.
Venture capital proxy,OECD / alternative source,Brazil,BRA,NOT_SELECTED,,,,,No proxy selected yet. Do not use a proxy until definition and cross-country comparability are established.
